region,week,title,artist,url,best_viral_rank,avg_viral_rank,viral_days_on_chart,breakout_probability
Greece,2021-12-13,DTB,Merczz,https://open.spotify.com/track/6BoXckigjvnIAZVQV6lELq,7,11.714285714285714,7,0.8593070128391691
Greece,2021-12-13,Swimming Pool,Marie Madeleine,https://open.spotify.com/track/3BMqVk2NJbH4fxf84e8kDC,3,5.142857142857143,7,0.8585790766318995
Greece,2021-12-13,MIDDLE OF THE NIGHT,Elley Duhé,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,1,1.0,7,0.8527795143194251
Panama,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.8503393215539459
Greece,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.0,7,0.8502450869392646
South Africa,2021-12-13,Super Max!,Pitstop Boys,https://open.spotify.com/track/4gqOzJPGNCvEnS1u5YHOkp,1,1.7142857142857142,7,0.8457702967709811
Romania,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,5,11.428571428571429,7,0.8453043037045727
Slovakia,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,5,9.0,7,0.8449211012797015
Ukraine,2021-12-13,Первый раз,Krasnaya Plesen,https://open.spotify.com/track/4bxaIFqvSpqqAHxT3pyMRt,14,20.285714285714285,7,0.844370906918411
Lithuania,2021-12-13,Pope Is a Rockstar,SALES,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2,3,4.0,7,0.8435789389679023
Uruguay,2021-12-13,TITAN,Salastkbron,https://open.spotify.com/track/5fBQLapwAPSLw27STml9kr,1,1.0,7,0.8434288050303066
Malaysia,2021-12-13,Habibi,"Ricky Rich, Dardan, Zuna",https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z,8,11.0,7,0.8433264222821444
Malaysia,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,1,1.0,7,0.8425396721275452
Lithuania,2021-12-13,It's Called: Freefall,Rainbow Kitten Surprise,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl,2,2.142857142857143,7,0.8424295823601431
Uruguay,2021-12-13,abcdefu,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,2,2.0,7,0.8407634616345102
Malaysia,2021-12-13,Super Idol - Remix,Samstring,https://open.spotify.com/track/5t07RuwZAUBBnF2tWKwgmP,2,2.0,7,0.8398620666226531
Honduras,2021-12-13,Mon Amour - Remix,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,1,1.0,7,0.8373759034222227
Lithuania,2021-12-13,Swimming Pool,Marie Madeleine,https://open.spotify.com/track/3BMqVk2NJbH4fxf84e8kDC,1,1.0,7,0.836964414648299
